date,Plant ID,diversion_rate_kgM,withdrawal_rate_kgM,discharge_rate_kgM,consumption_rate_kgM,avg_intake_temp_C,max_intake_temp_C,avg_discharge_temp_C,max_discharge_temp_C,Nameplate Capacity (MW),Plant Name,State,max_withdrawal_rate_kgM
2016-01-01,6127,0.0,78216422400.0,78216422400.0,0.0,13.333333333333334,18.333333333333336,28.333333333333336,96.0,1029.6,V C Summer,SC,89478915840.0
2016-02-01,6127,0.0,80550028800.0,80550028800.0,0.0,10.555555555555555,12.222222222222223,25.555555555555557,81.0,1029.6,V C Summer,SC,83706082560.0
2016-03-01,6127,0.0,86105203200.0,86105203200.0,0.0,15.0,17.77777777777778,28.88888888888889,90.0,1029.6,V C Summer,SC,89478915840.0
2016-04-01,6127,0.0,83327616000.0,83327616000.0,0.0,18.333333333333336,21.11111111111111,32.77777777777778,95.0,1029.6,V C Summer,SC,86592499200.0
2016-05-01,6127,0.0,86105203200.0,86105203200.0,0.0,22.22222222222222,23.88888888888889,36.66666666666667,101.0,1029.6,V C Summer,SC,89478915840.0
2016-06-01,6127,0.0,83327616000.0,83327616000.0,0.0,26.666666666666668,28.333333333333336,40.55555555555556,108.0,1029.6,V C Summer,SC,86592499200.0
2016-07-01,6127,0.0,86105203200.0,86105203200.0,0.0,28.88888888888889,30.0,43.333333333333336,111.0,1029.6,V C Summer,SC,89478915840.0
2016-08-01,6127,0.0,86105203200.0,86105203200.0,0.0,30.0,30.555555555555557,44.44444444444444,113.0,1029.6,V C Summer,SC,89478915840.0
2016-09-01,6127,0.0,83327616000.0,83327616000.0,0.0,28.333333333333336,29.444444444444446,42.77777777777778,111.0,1029.6,V C Summer,SC,86592499200.0
2016-10-01,6127,0.0,86105203200.0,86105203200.0,0.0,25.0,27.77777777777778,39.44444444444444,108.0,1029.6,V C Summer,SC,89478915840.0
2016-11-01,6127,0.0,80728704000.0,80728704000.0,0.0,20.555555555555557,23.333333333333336,35.0,99.0,1029.6,V C Summer,SC,86592499200.0
2016-12-01,6127,0.0,84594585600.0,84594585600.0,0.0,15.555555555555557,18.333333333333336,30.0,96.0,1029.6,V C Summer,SC,89478915840.0
